ncverilog: 15.20-s039: (c) Copyright 1995-2017 Cadence Design Systems, Inc.
TOOL:	ncverilog	15.20-s039: Started on Oct 14, 2019 at 20:19:32 CST
ncverilog
	+access+rwc
	Tas16.v
file: Tas16.v
	module worklib.adder16:v
		errors: 0, warnings: 0
	module worklib.adder4:v
		errors: 0, warnings: 0
	module worklib.fulladder:v
		errors: 0, warnings: 0
	module worklib.xor16:v
		errors: 0, warnings: 0
	module worklib.half_adder:v
		errors: 0, warnings: 0
	module worklib.half_adder4:v
		errors: 0, warnings: 0
	module worklib.half_adder16:v
		errors: 0, warnings: 0
		Caching library 'worklib' ....... Done
	Elaborating the design hierarchy:
		Caching library 'worklib' ....... Done
adder16 a1(A,comp2,0,SUM,C_out);
                   |
ncelab: *W,CUVMPW (./adder_s.v,18|19): port sizes differ in port connection (32/1).
	Building instance overlay tables: .......... Done
	Generating native compiled code:
		worklib.Tas16:v <0x5c7fd3b3>
			streams:  10, words:  6617
	Building instance specific data structures.
	Loading native compiled code:     .................... Done
	Design hierarchy summary:
		                  Instances  Unique
		Modules:                 85       9
		Primitives:             256       2
		Registers:                3       3
		Scalar wires:             8       -
		Expanded wires:          32       2
		Vectored wires:           1       -
		Always blocks:            2       2
		Initial blocks:           3       3
		Cont. assignments:        1       1
		Pseudo assignments:       4       4
		Simulation timescale:  10ps
	Writing initial simulation snapshot: worklib.Tas16:v
Loading snapshot worklib.Tas16:v .................... Done
ncsim> source /usr/cad/cadence/INCISIV/cur/tools/inca/files/ncsimrc
ncsim> run
                   0 || a=    0 | b=    0 | s=    0 | c=0 | ref=    0
                  10 || a=    1 | b=    0 | s=    1 | c=0 | ref=    1
                  20 || a=    2 | b=    0 | s=    2 | c=0 | ref=    2
                  30 || a=    3 | b=    0 | s=    3 | c=0 | ref=    3
                  40 || a=    4 | b=    0 | s=    4 | c=0 | ref=    4
                  50 || a=    5 | b=    1 | s=    6 | c=0 | ref=    6
                  60 || a=    6 | b=    1 | s=    7 | c=0 | ref=    7
                  70 || a=    7 | b=    1 | s=    8 | c=0 | ref=    8
                  80 || a=    8 | b=    1 | s=    9 | c=0 | ref=    9
                  90 || a=    9 | b=    1 | s=   10 | c=0 | ref=   10
                 100 || a=   10 | b=    2 | s=   12 | c=0 | ref=   12
                 110 || a=   11 | b=    2 | s=   13 | c=0 | ref=   13
                 120 || a=   12 | b=    2 | s=   14 | c=0 | ref=   14
                 130 || a=   13 | b=    2 | s=   15 | c=0 | ref=   15
                 140 || a=   14 | b=    2 | s=   16 | c=0 | ref=   16
                 150 || a=   15 | b=    3 | s=   18 | c=0 | ref=   18
                 160 || a=   16 | b=    3 | s=   19 | c=0 | ref=   19
                 170 || a=   17 | b=    3 | s=   20 | c=0 | ref=   20
                 180 || a=   18 | b=    3 | s=   21 | c=0 | ref=   21
                 190 || a=   19 | b=    3 | s=   22 | c=0 | ref=   22
                 200 || a=   20 | b=    4 | s=   24 | c=0 | ref=   24
                 210 || a=   21 | b=    4 | s=   25 | c=0 | ref=   25
                 220 || a=   22 | b=    4 | s=   26 | c=0 | ref=   26
                 230 || a=   23 | b=    4 | s=   27 | c=0 | ref=   27
                 240 || a=   24 | b=    4 | s=   28 | c=0 | ref=   28
                 250 || a=   25 | b=    5 | s=   30 | c=0 | ref=   30
                 260 || a=   26 | b=    5 | s=   31 | c=0 | ref=   31
                 270 || a=   27 | b=    5 | s=   32 | c=0 | ref=   32
                 280 || a=   28 | b=    5 | s=   33 | c=0 | ref=   33
                 290 || a=   29 | b=    5 | s=   34 | c=0 | ref=   34
                 300 || a=   30 | b=    6 | s=   36 | c=0 | ref=   36
                 310 || a=   31 | b=    6 | s=   37 | c=0 | ref=   37
                 320 || a=   32 | b=    6 | s=   38 | c=0 | ref=   38
                 330 || a=   33 | b=    6 | s=   39 | c=0 | ref=   39
                 340 || a=   34 | b=    6 | s=   40 | c=0 | ref=   40
                 350 || a=   35 | b=    7 | s=   42 | c=0 | ref=   42
                 360 || a=   36 | b=    7 | s=   43 | c=0 | ref=   43
